,X,lon,lat,hist25,fut25,defo25,V12
8830,14475,-76.78079224,41.77708435,95.17836974,98.20229848,3.023928735,0.018568411
8831,14476,-76.72558594,41.88074112,95.93894429,98.45525675,2.516312466,0.00399024
8832,14477,-76.67019653,41.98437881,96.55682379,98.71972556,2.162901769,0.007974532
8833,14478,-76.61462402,42.08802032,96.32960938,98.36099833,2.031388949,0.026961783
8834,14479,-76.55883789,42.19163513,95.29509401,97.63087454,2.335780535,0.012825273
8835,14480,-76.50283813,42.29523468,94.95409317,96.82544605,1.871352884,0.007614001
8836,14481,-76.44665527,42.39880753,95.45633664,97.55590627,2.099569635,0.032871986
8855,14500,-75.34072876,44.36266708,96.81130169,98.54938878,1.738087088,0.005525045
8857,14502,-75.21990967,44.56885147,97.06089781,98.81357138,1.752673574,0.041901657
8898,14587,-78.61340332,37.7919426,98.64447913,99.09845527,0.45397614,0.016988938
8899,14588,-78.56463623,37.89582062,98.69420574,99.10053973,0.406333986,0.038121994
8901,14590,-78.46670532,38.1035614,98.71865888,99.20434869,0.485689815,0.018058128
8902,14591,-78.41748047,38.20743942,98.56462714,99.09210684,0.527479698,0.00339704
8903,14592,-78.36810303,38.31130219,97.97935821,99.00615407,1.02679586,0.007632545
8904,14593,-78.31854248,38.41518021,96.77987463,98.69275719,1.912882558,0.009526162
8905,14594,-78.26885986,38.51904678,97.1157337,98.741882,1.626148303,0.004772313
8906,14595,-78.21896362,38.62292099,97.61528546,98.88334114,1.268055684,0.007447238
8907,14596,-78.16894531,38.7267952,97.78835863,98.79687453,1.008515897,0.002587282
8908,14597,-78.11871338,38.83065033,98.11459796,98.92306187,0.808463915,0.006926863
8909,14598,-78.06835938,38.93450928,98.24636852,99.02542286,0.779054347,0.005964192
8910,14599,-78.01779175,39.03836823,98.52909284,99.09839245,0.56929961,0.003063129
8911,14600,-77.96710205,39.14221954,98.7518605,99.16376478,0.411904286,0.033356901
8912,14601,-77.91619873,39.24607086,98.78351765,99.15044178,0.366924129,0.022121542
8915,14604,-77.76254272,39.55758286,98.67813699,99.15564026,0.477503278,0.001444741
