,X,lon,lat,epiraindiff,epirhdiff,epitdiff,finfmh,finfmf,finfmd,V12
3536,5029,-85.73327637,44.42770004,4.09962,-3.48581,1.31471,0.5972984,0.4118265,-0.1854719,0.012816958
3537,5030,-85.69213867,44.53552628,4.08432,-3.43888,1.28503,0.5772351,0.4198866,-0.1573485,0.018777027
3538,5031,-85.65081787,44.64334106,4.43905,-3.42589,1.29477,0.5435104,0.3826046,-0.1609058,0.039324319
3539,5032,-85.60934448,44.75114441,4.20522,-3.38331,1.37972,0.5301696,0.3761451,-0.1540245,0.038203722
3621,5164,-86.18536377,42.78071594,10.89339,-1.286,0.85338,0.643254,0.459182,-0.184072,0.005967073
3624,5167,-86.06744385,43.10435486,4.38873,-3.60962,0.87855,0.4788483,0.3325249,-0.1463234,0.009633929
3625,5168,-86.02783203,43.21221924,1.15616,-3.52661,1.01295,0.4739085,0.3259285,-0.14798,0.018843364
3626,5169,-85.98809814,43.32008362,1.35562,-3.54889,1.1753,0.4697589,0.3209508,-0.1488081,0.014137184
3628,5171,-85.90814209,43.53578186,2.96917,-3.418,1.2632,0.5261465,0.3653531,-0.1607934,0.028330882
3629,5172,-85.86795044,43.64361954,4.17922,-3.70482,1.34475,0.5039878,0.3386526,-0.1653352,0.009038448
3630,5173,-85.8276062,43.75145721,4.83162,-3.71606,1.38512,0.5103192,0.3335577,-0.1767615,0.035494365
3631,5174,-85.78710938,43.85927963,7.93548,-3.58168,1.34032,0.5449907,0.3533499,-0.1916408,0.004308387
3632,5175,-85.74645996,43.96709824,6.28215,-3.75848,1.33252,0.5602271,0.3654112,-0.1948159,0.010108428
3633,5176,-85.70568848,44.07490158,2.16226,-3.82212,1.28822,0.5809632,0.3827352,-0.198228,0.005018464
3634,5177,-85.66473389,44.1826973,3.56584,-3.50171,1.31914,0.6051613,0.4106249,-0.1945364,0.00203856
3635,5178,-85.62362671,44.29049301,8.22024,-3.01998,1.35913,0.6286194,0.4470588,-0.1815606,0.007176332
3636,5179,-85.58236694,44.39827347,5.9575,-3.20505,1.33857,0.6075544,0.4301192,-0.1774352,0.009071892
3637,5180,-85.54095459,44.50604248,1.46972,-3.53957,1.30116,0.5797794,0.419607,-0.1601724,0.01348245
3638,5181,-85.49938965,44.61379623,0.46601,-3.63018,1.32111,0.5474948,0.3820205,-0.1654743,0.013275264
3639,5182,-85.4576416,44.72153854,3.48296,-3.58263,1.33363,0.5276604,0.3802924,-0.147368,0.012873527
3640,5183,-85.41577148,44.82927322,6.40746,-3.27342,1.38461,0.5219834,0.3732112,-0.1487722,0.009103118
3722,5316,-85.95947266,42.96757507,1.03826,-3.532,0.789,0.4648844,0.317801,-0.1470834,0.005025754
3723,5317,-85.91976929,43.07539749,0.47141,-3.46644,0.93533,0.47493,0.3275881,-0.1473419,0.035570456
3727,5321,-85.75946045,43.5065918,3.81302,-3.72458,1.25249,0.4786832,0.3215315,-0.1571517,0.013698697
3728,5322,-85.71899414,43.61437607,5.45862,-3.58869,1.34309,0.4951067,0.3321066,-0.1630001,0.00404072
3729,5323,-85.67840576,43.72216034,6.59205,-3.38869,1.34227,0.5127631,0.347264,-0.1654991,0.00887947
3730,5324,-85.63766479,43.82992172,4.97908,-3.60943,1.3293,0.5442978,0.3640391,-0.1802587,0.005118285
3731,5325,-85.59674072,43.93768311,0.80536,-3.72697,1.2933,0.5738604,0.3931306,-0.1807298,0.001120801
